元大臺灣ESG永續ETF基金 (00850) 2026/02/02

詳細基金成分
基金資產總淨值(新台幣),26417052812
基金每單位淨值(新台幣),59.98
基金在外流通單位數(單位),440444000

股票,期貨
97.96%,1.99%

資產金額
股票,25878245536
ETF,0
債券,0
期貨,524825600

非商品資產
項目,金額
保證金,NTD$ 213659611


基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
2330,台積電,4795000,32.04
2317,鴻海,7519000,6.11
2454,聯發科,917000,5.92
2308,台達電,1190000,5.29
3711,日月光投控,2024000,2.24
2891,中信金,9982000,1.92
2382,廣達,1691000,1.75
2303,聯電,7186000,1.65
2881,富邦金,4645090,1.59
2882,國泰金,5301156,1.49
2345,智邦,302000,1.3
2412,中華電,2472000,1.24
2884,玉山金,8969618,1.13
3017,奇鋐,195000,1.1
2383,台光電,159000,1.07
2886,兆豐金,7282718,1.07
2885,元大金,6595623,1.05
3037,欣興,759931,1.05
2887,台新新光金,11099956,0.94
1216,統一,3380000,0.92
3231,緯創,1865000,0.9
2327,國巨*,888232,0.87
6669,緯穎,64000,0.87
2360,致茂,223000,0.82
2449,京元電子,702000,0.76
2301,光寶科,1200000,0.73
2892,第一金,6687591,0.73
2357,華碩,383000,0.72
2880,華南金,5735797,0.71
2890,永豐金,6560291,0.71
3653,健策,52000,0.58
3661,世芯-KY,49000,0.58
6446,藥華藥,201447,0.58
5880,合庫金,6453208,0.57
3665,貿聯-KY,111000,0.56
2379,瑞昱,296000,0.53
3008,大立光,60000,0.53
1590,亞德客-KY,115000,0.51
2368,金像電,182000,0.49
3034,聯詠,351000,0.49
2883,凱基金,7084541,0.48
2395,研華,421569,0.47
2603,長榮,668000,0.47
3443,創意,45000,0.46
3045,台灣大,1118000,0.44
2207,和泰車,217000,0.43
2324,仁寶,3465000,0.42
2059,川湖,35000,0.41
6239,力成,423000,0.39
4904,遠傳,1092000,0.37
2912,統一超,443000,0.36
3481,群創,4536000,0.36
2801,彰銀,4557413,0.35
5876,上海商銀,2342000,0.35
4938,和碩,1186000,0.31
4958,臻鼎-KY,441000,0.31
3533,嘉澤,52000,0.29
2376,技嘉,329000,0.28
1476,儒鴻,181000,0.27
2633,台灣高鐵,2619000,0.27
5871,中租-KY,685562,0.27
2356,英業達,1584000,0.26
2834,臺企銀,4362660,0.25
1402,遠東新,2325000,0.24
2615,萬海,848000,0.24
2618,長榮航,1670000,0.24
6415,矽力*-KY,206000,0.23
2609,陽明,1082000,0.21
1102,亞泥,1430000,0.19
1503,士電,232000,0.19
2385,群光,443000,0.19
2409,友達,3681000,0.19
1504,東元,599000,0.18
2353,宏碁,1776000,0.18
8046,南電,126000,0.18
9904,寶成,1567000,0.18
2474,可成,231000,0.17
2049,上銀,186156,0.16
2610,華航,1779000,0.15
3036,文曄,255000,0.15
8464,億豐,97000,0.15
2377,微星,417000,0.14
3702,大聯大,566000,0.14
6409,旭隼,42000,0.14
6505,台塑化,733000,0.14
2105,正新,1162000,0.13
2354,鴻準,608000,0.13
1717,長興,501750,0.11
1722,台肥,648000,0.11
2451,創見,117000,0.11
5269,祥碩,23000,0.11
6005,群益證,1015000,0.11
1605,華新,659276,0.1
9910,豐泰,261280,0.09
2492,華新科,176000,0.08
2498,宏達電,409000,0.07
2845,遠東銀,1512991,0.07
2201,裕隆,483000,0.06
2606,裕民,257000,0.06
9917,中保科,140000,0.06
9921,巨大,186000,0.06
2371,大同,348500,0.05
8454,富邦媒,51334,0.04
2204,中華,148000,0.03
3532,台勝科,38000,0.02

基金權重-期貨
商品代碼,商品名稱,商品數量,商品權重,商品年月
TX,臺股期貨,83,1.99,202602

投資區域
名稱,比例,檔數
台灣,97.96,105
現金,2.04,0

